Claim,Original label,Gold_Verdict,Pred_Verdict
"“The speed of light in vacuum is approximately 299,792 kilometres per second.”",TRUE,TRUE,TRUE
“An object in motion remains in motion at constant velocity unless acted on by an external force.”,TRUE,TRUE,TRUE
“An electric current in a conductor produces a magnetic field around the conductor.”,TRUE,TRUE,TRUE
"“In a vacuum, electromagnetic waves travel at the speed of light.”",TRUE,TRUE,TRUE
"“Mass and energy are equivalent, as expressed in the equation E = mc.”",TRUE,FALSE,FALSE
“The melting point of pure ice at standard atmospheric pressure is 0 degrees Celsius.”,TRUE,TRUE,TRUE
“Gravity acts between all objects with mass.”,TRUE,TRUE,TRUE
“The Earth completes one rotation on its axis approximately every 24 hours.”,TRUE,TRUE,TRUE
“The acceleration due to gravity at Earth’s surface is about 9.8 metres per second squared.”,TRUE,TRUE,TRUE
“Sound cannot travel through a vacuum.”,TRUE,TRUE,TRUE
“Heat flows spontaneously from objects at higher temperature to objects at lower temperature.”,TRUE,TRUE,TRUE
“1.602 × 10⁻¹⁹ coulombs.”,TRUE,TRUE,TRUE
“The photon has zero rest mass.”,TRUE,TRUE,TRUE
The law of conservation of momentum states that the total momentum of an isolated system remains constant.,TRUE,TRUE,TRUE
Light exhibits both wave-like and particle-like properties.,TRUE,TRUE,TRUE
"The first law of thermodynamics states that energy cannot be created or destroyed, only transformed.",TRUE,TRUE,TRUE
The second law of thermodynamics states that entropy of an isolated system never decreases.,TRUE,TRUE,TRUE
A rainbow is formed by the dispersion and reflection of sunlight in water droplets.,TRUE,TRUE,TRUE
The period of a pendulum increases with the square root of its length for small amplitudes.,TRUE,TRUE,TRUE
The refractive index of a medium determines the bending of light entering that medium.,TRUE,TRUE,TRUE
The kinetic energy of an object is equal to one half of its mass times the square of its velocity.,TRUE,TRUE,TRUE
The Earth’s magnetic field roughly resembles that of a dipole tilted relative to the planet’s rotation axis.,TRUE,TRUE,TRUE
"In a closed circuit, the current entering a junction equals the current leaving it.",TRUE,TRUE,TRUE
–1.602×10⁻¹⁹ coulombs.,TRUE,Unverifiable,Unverifiable
"At sea level, atmospheric pressure is about 101.3 kilopascals.",TRUE,TRUE,TRUE
Visible light occupies wavelengths roughly between 400 and 700 nanometres.,TRUE,TRUE,TRUE
"In an elastic collision, kinetic energy is conserved.",TRUE,TRUE,TRUE
The momentum of a photon is given by its energy divided by the speed of light.,TRUE,TRUE,TRUE
6.626×10⁻³⁴ J·s,TRUE,TRUE,TRUE
The Bohr radius is approximately 0.529 angstroms.,TRUE,TRUE,TRUE
Blackbody radiation spectrum depends only on the temperature of the blackbody.,TRUE,TRUE,TRUE
The Coulomb force between two charges decreases with the square of the distance between them.,TRUE,TRUE,TRUE
The Lorentz factor increases as an object’s velocity approaches the speed of light.,TRUE,TRUE,TRUE
The Doppler effect causes the observed frequency of waves to change with relative motion between source and observer.,TRUE,TRUE,TRUE
Pascal’s principle states that pressure applied to a confined fluid is transmitted undiminished in all directions.,TRUE,TRUE,TRUE
Archimedes’ principle states that the buoyant force on a submerged object equals the weight of the fluid displaced.,TRUE,TRUE,TRUE
The critical angle for total internal reflection occurs when light moves from a medium of higher refractive index to lower.,TRUE,TRUE,TRUE
A magnetic field exerts a force on a moving electric charge perpendicular to both the field and the velocity.,TRUE,TRUE,TRUE
"In uniform circular motion, the centripetal acceleration is directed toward the center of the circle.",TRUE,TRUE,TRUE
Electrons occupy discrete energy levels in atoms.,TRUE,TRUE,TRUE
Nuclear fission occurs when a heavy nucleus splits into lighter nuclei releasing energy.,TRUE,TRUE,TRUE
Nuclear fusion powers the Sun by combining hydrogen nuclei into helium.,TRUE,TRUE,TRUE
The half-life of a radioactive isotope is the time required for half of the sample to decay.,TRUE,TRUE,TRUE
"The principle of superposition states that when two waves overlap, the resultant displacement is the vector sum of the individual displacements.",TRUE,TRUE,TRUE
The photoelectric effect demonstrates that light can eject electrons from a metal surface.,TRUE,TRUE,TRUE
The permeability of free space is approximately 4×10⁻⁷ henry per meter.,TRUE,TRUE,TRUE
The usable energy extracted from a heat engine is limited by the Carnot efficiency.,TRUE,TRUE,TRUE
The refractive index of air is slightly greater than 1.,TRUE,TRUE,TRUE
Gravitational waves propagate at the speed of light.,TRUE,TRUE,TRUE
The SI unit of electric current is the ampere.,TRUE,TRUE,TRUE
The SI unit of force is the newton.,TRUE,TRUE,TRUE
The SI unit of power is the watt.,TRUE,TRUE,TRUE
The escape velocity from Earth’s surface is about 11.2 km/s.,TRUE,TRUE,TRUE
The density of pure water at 4 °C is approximately 1 g/cm³.,TRUE,TRUE,TRUE
The capacitance of a parallel-plate capacitor increases with the area of the plates and decreases with the separation between them.,TRUE,TRUE,TRUE
Lenz’s law indicates that induced currents oppose the change causing them.,TRUE,TRUE,TRUE
The wavelength of a wave multiplied by its frequency equals its speed.,TRUE,TRUE,TRUE
The gravitational constant G is approximately 6.674×10⁻¹¹ N·m²/kg².,TRUE,TRUE,TRUE
"The acceleration of a body falling freely near Earth is independent of its mass, neglecting air resistance.",TRUE,TRUE,TRUE
Inertia is the property of matter that resists changes in motion.,TRUE,TRUE,TRUE
The impedance of a resistor is purely real.,TRUE,TRUE,TRUE
A convex lens can converge parallel rays of light to a focal point.,TRUE,TRUE,TRUE
Sound travels faster in water than in air at the same temperature.,TRUE,TRUE,TRUE
The electric field lines originate on positive charges and terminate on negative charges.,TRUE,TRUE,TRUE
Photons carry momentum despite having no rest mass.,TRUE,TRUE,TRUE
The triple point of water is at 0.01 °C and 611 Pa.,TRUE,TRUE,TRUE
"The Rutherford gold-foil experiment demonstrated that atoms have a small, dense nucleus.",TRUE,TRUE,TRUE
