Claim,Original_Verdict,Gold_Verdict,Pred_Verdict
“When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bush’s administration.”,TRUE,Mostly True,Mostly True
“Hillary Clinton agrees with John McCain ‘by voting to give George Bush the benefit of the doubt on Iran.’”,TRUE,FALSE,FALSE
“Health care reform legislation is likely to mandate free sex change surgeries.”,TRUE,FALSE,FALSE
“The economic turnaround started at the end of my term.”,TRUE,Half True,Half True
“The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.”,TRUE,TRUE,TRUE
“Jim Dunnam has not lived in the district he represents for years now.”,TRUE,Mostly False,Half True
"“I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.”",TRUE,Half True,Half True
"“However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.”",TRUE,Mostly True,Mostly True
“We have a federal government that thinks they have the authority to regulate our toilet seats.”,TRUE,Mostly True,Mostly True
“Austin is a city that has basically doubled in size every 25 years or so since it was founded.”,TRUE,TRUE,TRUE
"“The nuclear test conducted in our nation this time is the Earth’s 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.”",TRUE,TRUE,FALSE
"“In the case of a catastrophic event, the Atlanta-area offices of the CDC will self-destruct.”",TRUE,FALSE,FALSE
"“Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama we’ve added $6.5 trillion to the debt.”",TRUE,Half True,Half True
“Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.”,TRUE,Half True,Half True
“Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.”,TRUE,FALSE,FALSE
“Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra.”,TRUE,FALSE,FALSE
“Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.”,TRUE,FALSE,FALSE
